YEAR,Region,Country,LOC,Block,HYBRID,Pre-commercial name,Commercial name,Family relatedness,density,mean_yield,Comment,NEW LOC,NEW Block
2016,Early central East,Poland,POLAND3,2,EQ3139,EQ3139,EQ3139,Female Group 31,95,15.17674419,,POLAND3,2
2016,Early central East,Poland,POLAND3,2,EQ3139,EQ3139,EQ3139,Female Group 31,110,15.34736842,,POLAND3,2
2016,Early central East,Poland,POLAND3,2,RICARDINIO,RICARDINIO,RICARDINIO,,50,11.02439024,,POLAND3,2
2016,Early central East,Poland,POLAND3,2,RICARDINIO,RICARDINIO,RICARDINIO,,65,12.29142857,,POLAND3,2
2016,Early central East,Poland,POLAND3,2,RICARDINIO,RICARDINIO,RICARDINIO,,80,13.81052632,,POLAND3,2
2016,Early central East,Poland,POLAND3,2,RICARDINIO,RICARDINIO,RICARDINIO,,95,14.36829268,,POLAND3,2
2016,Early central East,Poland,POLAND3,2,RICARDINIO,RICARDINIO,RICARDINIO,,110,15.25238095,,POLAND3,2
2016,Early central East,Russia,6GRU1 L,1,DELITOP,DELITOP,DELITOP,,50,5.5992,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,DELITOP,DELITOP,DELITOP,,65,6.405,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,DELITOP,DELITOP,DELITOP,,80,7.44325,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,DELITOP,DELITOP,DELITOP,,95,7.374714286,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,DELITOP,DELITOP,DELITOP,,110,7.376,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,DKC2949,EA3204,DKC2949,Female Group 14,50,4.102428571,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,DKC2949,EA3204,DKC2949,Female Group 14,65,4.5900625,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,DKC2949,EA3204,DKC2949,Female Group 14,80,5.327583333,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,DKC2949,EA3204,DKC2949,Female Group 14,95,5.254,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,DKC2949,EA3204,DKC2949,Female Group 14,110,5.930923077,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,DKC2960,EC2907,DKC2960,Female Group 14,50,5.319866667,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,DKC2960,EC2907,DKC2960,Female Group 14,65,5.836933333,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,DKC2960,EC2907,DKC2960,Female Group 14,80,6.375666667,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,DKC2960,EC2907,DKC2960,Female Group 14,95,6.177333333,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,DKC2960,EC2907,DKC2960,Female Group 14,110,6.246230769,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,DKC3203,EG3222,DKC3203,Female Group 18,50,5.019076923,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,DKC3203,EG3222,DKC3203,Female Group 18,65,5.8863125,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,DKC3203,EG3222,DKC3203,Female Group 18,80,6.471846154,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,DKC3203,EG3222,DKC3203,Female Group 18,95,6.516307692,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,DKC3203,EG3222,DKC3203,Female Group 18,110,6.582272727,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,DKC3472,ED3412,DKC3472,Female Group 7,50,5.686142857,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,DKC3472,ED3412,DKC3472,Female Group 7,65,6.342533333,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,DKC3472,ED3412,DKC3472,Female Group 7,80,7.279153846,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,DKC3472,ED3412,DKC3472,Female Group 7,95,7.107230769,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,DKC3472,ED3412,DKC3472,Female Group 7,110,7.466,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,DKC3476,EC3406,DKC3476,Female Group 1,50,5.456533333,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,DKC3476,EC3406,DKC3476,Female Group 1,65,6.1070625,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,DKC3476,EC3406,DKC3476,Female Group 1,80,7.375071429,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,DKC3476,EC3406,DKC3476,Female Group 1,95,6.896307692,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,DKC3476,EC3406,DKC3476,Female Group 1,110,7.223214286,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,DKC3705,NF3715,DKC3705,Female Group 10,50,5.806307692,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,DKC3705,NF3715,DKC3705,Female Group 10,65,6.5675,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,DKC3705,NF3715,DKC3705,Female Group 10,80,7.804615385,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,DKC3705,NF3715,DKC3705,Female Group 10,95,7.140461538,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,DKC3705,NF3715,DKC3705,Female Group 10,110,7.654,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,DKC3717,NG3724,DKC3717,Female Group 6,50,4.731,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,DKC3717,NG3724,DKC3717,Female Group 6,65,6.105857143,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,DKC3717,NG3724,DKC3717,Female Group 6,80,6.30425,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,DKC3717,NG3724,DKC3717,Female Group 6,95,6.200923077,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,DKC3717,NG3724,DKC3717,Female Group 6,110,6.573909091,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,DKC3759,MPB372,DKC3759,Female Group 4,50,4.870142857,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,DKC3759,MPB372,DKC3759,Female Group 4,65,5.4029375,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,DKC3759,MPB372,DKC3759,Female Group 4,80,6.432928571,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,DKC3759,MPB372,DKC3759,Female Group 4,95,6.5765,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,DKC3759,MPB372,DKC3759,Female Group 4,110,6.393692308,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,P7535,P7535,P7535,,50,3.815285714,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,P7535,P7535,P7535,,65,4.918733333,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,P7535,P7535,P7535,,80,5.678071429,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,P7535,P7535,P7535,,95,5.583181818,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,1,P7535,P7535,P7535,,110,5.432454545,,6GRU1,L1
2016,Early central East,Russia,6GRU1 L,2,DELITOP,DELITOP,DELITOP,,50,5.479428571,,6GRU1,L2
